"EFORSCDCID","OtherCounties"
34,"Washington"
34,"Marion"
34,"Multnomah"
46,"Palm Beach"
46,"Volusia"
46,"Martin"
46,"Miami-Dade"
46,"Nassau"
46,"Okaloosa"
46,"Orange"
46,"Osceola"
46,"Pasco"
46,"Pinellas"
46,"Polk"
46,"Putnam"
46,"Marion"
46,"St. Johns"
46,"Hendry"
46,"Seminole"
46,"Escambia"
46,"Alachua"
46,"Bay"
46,"Brevard"
46,"Charlotte"
46,"Citrus"
46,"Clay"
46,"Hillsborough"
46,"Duval"
46,"Manatee"
46,"Flagler"
46,"Highlands"
46,"Indian River"
46,"Lee"
46,"Leon"
46,"Collier"
58,"Larimer"
58,"Pueblo"
58,"Jefferson"
58,"Garfield"
58,"Douglas"
58,"Denver"
58,"Boulder"
58,"Alamosa"
58,"El Paso"
64,"Deschutes"
64,"Jefferson"
66,"New Haven"
66,"Fairfield"
73,"Contra Costa"
73,"Solano"
76,"Ozaukee"
76,"Sheboygan"
76,"Washington"
285,"Allegheny"
364,"Geauga"
364,"Lake"
387,"Shelby"
623,"Ramsey"
623,"Scott"
623,"Dakota"
623,"Anoka"
623,"Wright"
2116,"Bronx"
2897,"Osceola"
2897,"Palm Beach"
3061,"Alameda"
3061,"Riverside"
3061,"San Bernardino"
3195,"Coffee"
4180,"Shelby"
4180,"Rutherford"
4180,"Knox"
4226,"Fairfield"
4239,"Weakley"
4244,"Clinton"
4256,"Winnebago"
4264,"Clinton"
4264,"Oakland"
4268,"Ingham"
4268,"Oakland"
4281,"Will"
4341,"Marin"
4341,"San Joaquin"
4349,"Wayne"
4364,"Ingham"
4364,"Oakland"
4489,"Brazoria"
4489,"Karnes"
4489,"Nueces"
4500,"Bexar"
4566,"Marin"
4566,"Santa Clara"
4750,"DuPage"
4750,"Iroquois"
4750,"Will"
4817,"Martin"
4836,"Seminole"
4893,"Montgomery"
4974,"Fairfield"
4974,"Hartford"
4974,"New Haven"
4975,"Wake"
4976,"Cherokee"
4976,"Clay"
5001,"Cook"
5001,"Will"
5008,"Broward"
5056,"Cook"
5056,"Lake"
5056,"McHenry"
5157,"Ashland"
5157,"Washburn"
5159,"Waukesha"
5159,"Ozaukee"
5159,"Walworth"
5163,"Seminole"
5166,"St. Clair"
5173,"Dane"
5173,"Outagamie"
5175,"Oneida"
5197,"Barron"
5197,"Dunn"
5197,"Eau Claire"
5314,"Avery"
5314,"Mitchell"
5314,"Yancey"
5348,"Brown"
5348,"Outagamie"
5386,"Baltimore"
5386,"Carroll"
5412,"Racine"
5412,"Eau Claire"
5412,"Outagamie"
5475,"Montgomery"
5579,"Chemung"
5579,"Erie"
5579,"Steuben"
5647,"Middlesex"
5647,"Norfolk"
5647,"Suffolk"
5659,"Adams"
5659,"Denver"
5659,"Jefferson"
5714,"Tarrant"
5714,"Dallas"
5889,"Lake"
5889,"Sacramento"
5889,"San Joaquin"
5897,"Contra Costa"
5897,"Los Angeles"
5897,"Orange"
5955,"San Diego"
5955,"Santa Clara"
6034,"Oklahoma"
6035,"Allegheny"
6065,"La Salle"
6095,"Alameda"
6095,"Monterey"
6095,"Santa Clara"
6120,"Los Angeles"
6120,"Ventura"
6129,"Orange"
6129,"Santa Clara"
6129,"Tulare"
6136,"Alameda"
6136,"San Mateo"
6150,"Tulare"
6194,"San Mateo"
6195,"Humboldt"
6238,"Augusta"
6238,"Bedford"
6238,"Bedford"
6238,"Russell"
6458,"Cook"
6472,"Cherokee"
6472,"Cobb"
6472,"Coweta"
6485,"King"
6485,"Snohomish"
6485,"Spokane"
6575,"Jefferson"
6603,"Taney"
6627,"Ramsey"
6630,"Marion"
6666,"Jefferson"
6685,"Cumberland"
6685,"Sagadahoc"
6685,"Waldo"
6749,"Snohomish"
6749,"Pierce"
6749,"Chelan"
6774,"Buffalo"
6786,"Fresno"
6814,"Jackson"
6814,"Multnomah"
6814,"Washington"
6834,"Bucks"
6834,"Erie"
6834,"Washington"
6861,"St. Joseph"
6898,"Sussex"
6898,"Kent"
6970,"Norfolk"
7009,"Los Angeles"
7009,"Ventura"
7085,"Collier"
7092,"Walla Walla"
7114,"San Mateo"
7114,"Santa Clara"
7114,"Alameda"
7116,"San Mateo"
7116,"Alameda"
7149,"San Diego"
7173,"Baltimore"
7173,"Calvert"
7173,"Montgomery"
7187,"Davidson"
7187,"Montgomery"
7226,"Adams"
7226,"Arapahoe"
7226,"Archuleta"
7277,"Henrico"
7335,"Chesterfield"
7335,"Richmond"
7335,"Richmond"
7336,"Boone"
7336,"Kenton"
7383,"Oakland"
7383,"Washtenaw"
7383,"Wayne"
7460,"Alameda"
7460,"Merced"
7475,"Cobb"
7475,"Fulton"
7475,"Bibb"
7502,"Outagamie"
7502,"Shawano"
7502,"Waukesha"
7526,"San Mateo"
7526,"Monterey"
7533,"Winnebago"
7533,"Brown"
7533,"Calumet"
7594,"Washington"
7598,"Skagit"
7598,"Whatcom"
7663,"Orange"
7663,"Riverside"
7663,"San Diego"
7701,"Washington"
7701,"Windsor"
7701,"Bennington"
7705,"Suffolk"
7713,"Anne Arundel"
7713,"Caroline"
7713,"Montgomery"
7724,"Los Alamos"
7724,"Santa Fe"
7724,"Taos"
7734,"Multnomah"
7734,"Klamath"
7734,"Douglas"
7881,"Gloucester"
7932,"Baltimore"
7932,"Carroll"
7932,"Montgomery"
7943,"St. Louis"
7943,"Franklin"
7943,"Jefferson"
7946,"St. Charles"
7946,"St. Louis"
7956,"Jefferson"
7956,"St. Charles"
7956,"St. Louis"
8152,"Racine"
8267,"Bastrop"
8267,"Travis"
8277,"Crosby"
8277,"Deaf Smith"
8277,"Floyd"
8280,"Harris"
8285,"Travis"
8285,"Galveston"
8285,"Montgomery"
8287,"Travis"
8287,"Kaufman"
8287,"Nacogdoches"
8330,"Polk"
8367,"Anne Arundel"
8367,"Montgomery"
8367,"Queen Anne's"
8439,"Steuben"
8447,"Cuyahoga"
8447,"Mahoning"
8447,"Medina"
8505,"Hartford"
8505,"Litchfield"
8517,"Clackamas"
8517,"Linn"
8517,"Washington"
8518,"Clackamas"
8518,"Lane"
8518,"Linn"
8543,"Jackson"
8543,"Josephine"
8564,"San Francisco"
8564,"Alameda"
8564,"Sacramento"
8580,"Los Angeles"
8580,"Orange"
8580,"San Diego"
8594,"Essex"
8594,"Franklin"
8594,"Saratoga"
8613,"Miami-Dade"
8655,"Merrimack"
8655,"Strafford"
8784,"Van Buren"
8816,"Lincoln"
8816,"Madison"
8830,"McLean"
8830,"Stutsman"
8836,"Fort Bend"
8836,"Montgomery"
8854,"Burleigh"
8854,"McHenry"
8854,"Rolette"
8915,"Litchfield"
8915,"New Haven"
8952,"Jefferson"
8952,"King"
8968,"Snohomish"
8970,"King"
8970,"Thurston"
9076,"Camden"
9147,"Hartford"
9147,"Fairfield"
9244,"Delaware"
9244,"Marion"
9325,"Black Hawk"
9331,"Oneida"
9331,"Onondaga"
9331,"Wayne"
9429,"Flathead"
9429,"Missoula"
9429,"Ravalli"
9430,"Chouteau"
9430,"Jefferson"
9430,"Liberty"
9550,"Carroll"
9550,"Cuyahoga"
9551,"Limestone"
9559,"Cheshire"
9559,"Merrimack"
9559,"Strafford"
9617,"Knox"
9617,"Morrow"
9686,"Knox"
9686,"Marion"
9686,"Morrow"
9686,"Union"
9691,"DeKalb"
9700,"Cass"
9700,"St. Joseph"
9730,"Eagle"
9730,"Pitkin"
9789,"Broome"
9789,"Montgomery"
9789,"Schenectady"
9797,"Anderson"
9804,"Alameda"
9804,"Santa Clara"
9804,"Stanislaus"
9825,"Monroe"
9825,"Onondaga"
9825,"Oswego"
9855,"Wayne"
9855,"Suffolk"
9855,"Erie"
9855,"Onondaga"
9868,"Franklin"
9901,"Spartanburg"
9905,"Carroll"
9905,"Cuyahoga"
9905,"Erie"
9905,"Lorain"
9905,"Medina"
9905,"Seneca"
9905,"Tuscarawas"
9905,"Wayne"
9910,"Utah"
9910,"Davis"
9917,"Campbell"
9945,"Montgomery"
9945,"Stark"
9945,"Licking"
9963,"Cache"
9963,"Salt Lake"
9963,"Weber"
