EFORSCDCID,ReportingState,ReportingCounty,FirstIll,LastIll,FirstExposure,LastExposure,Illnesses,Hospitalizations,Deaths,Genus1,Genus2,Genus3,Genus4,Genus5,Genus6,Species1,Species2,Species3,Species4,Species5,Species6,Serotype1,Serotype2,Serotype3,Serotype4,Serotype5,Serotype6,Confirmed1,Confirmed2,Confirmed3,Confirmed4,Confirmed5,Confirmed6,WhereEaten1,WhereEaten2,WhereEaten3,WhereEaten4,WhereEaten5,WhereEaten6,WhereEaten7,CommodityGroup
3,Wisconsin,Dodge,2005-06-14T00:00:00Z,,2005-06-14T00:00:00Z,2005-06-14T00:00:00Z,22,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Workplace cafeteria,,,,,,,>1 commodity
4,Missouri,Wayne,2005-08-14T00:00:00Z,2005-08-18T00:00:00Z,2005-08-13T00:00:00Z,2005-08-13T00:00:00Z,27,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
5,Missouri,Andrew,2005-07-31T00:00:00Z,2005-08-06T00:00:00Z,2005-07-30T00:00:00Z,2005-07-30T00:00:00Z,31,2,0,Salmonella,,,,,,enterica,,,,,,,,,,,,1,.,.,.,.,.,Wedding reception,,,,,,,Unknown
6,Wisconsin,Fond du Lac,2005-07-18T00:00:00Z,,,,9,1,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Nursing home,,,,,,,Unknown
7,Wisconsin,Dane,2005-07-19T00:00:00Z,2005-07-20T00:00:00Z,2005-07-19T00:00:00Z,2005-07-19T00:00:00Z,24,0,0,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,Prison,,,,,,,>1 commodity
8,Wisconsin,Taylor,2005-08-02T00:00:00Z,2005-08-03T00:00:00Z,2005-08-02T00:00:00Z,2005-08-02T00:00:00Z,17,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,"Workplace, not cafeteria",,,,,,,Unknown
13,CDC,,2004-04-29T00:00:00Z,,2004-04-29T00:00:00Z,,59,18,,Escherichia,,,,,,"coli, Shiga toxin-producing",,,,,,O157:H7,,,,,,1,.,.,.,.,.,Restaurant (unknown type),Private home,,,,,,Beef
14,CDC,,2004-04-30T00:00:00Z,,,,35,5,,Salmonella,,,,,,enterica,,,,,,Bovismorbificans,,,,,,1,.,.,.,.,.,Private home,,,,,,,Sprout
15,CDC,,2004-07-31T00:00:00Z,2004-09-01T00:00:00Z,,,97,,,Salmonella,,,,,,enterica,,,,,,Newport,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Leafy
17,CDC,,2004-06-18T00:00:00Z,2004-07-21T00:00:00Z,,,137,25,0,Salmonella,,,,,,enterica,,,,,,Braenderup,,,,,,1,.,.,.,.,.,Private home,Restaurant (unknown type),,,,,,Vine
18,CDC,,2004-07-02T00:00:00Z,2004-07-27T00:00:00Z,2004-09-09T00:00:00Z,,429,129,0,Salmonella,Salmonella,Salmonella,Salmonella,Salmonella,Salmonella,enterica,enterica,enterica,enterica,enterica,enterica,Javiana,Anatum,Unknown,Muenchen,Thompson,Typhimurium,1,1,1,1,1,1,Restaurant (unknown type),,,,,,,Vine
19,CDC,,2004-06-30T00:00:00Z,2004-07-13T00:00:00Z,,,155,16,,Salmonella,,,,,,enterica,,,,,,Berta,,,,,,1,.,.,.,.,.,Restaurant (unknown type),Private home,,,,,,Beef
20,CDC,,2004-08-11T00:00:00Z,2004-10-03T00:00:00Z,,,34,,,Salmonella,,,,,,enterica,,,,,,Typhimurium,,,,,,1,.,.,.,.,.,Private home,,,,,,,Beef
22,CDC,,2004-07-19T00:00:00Z,2004-08-23T00:00:00Z,,,48,,,Salmonella,,,,,,enterica,,,,,,Agbeni,,,,,,1,.,.,.,.,.,,,,,,,,Unknown
23,Florida,Escambia,2005-05-25T00:00:00Z,2005-05-25T00:00:00Z,2005-05-25T00:00:00Z,2005-05-25T00:00:00Z,7,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
25,Oregon,Multnomah,2005-08-28T00:00:00Z,,,,9,0,0,Salmonella,,,,,,enterica,,,,,,Typhimurium,,,,,,0,.,.,.,.,.,Private home,,,,,,,Unknown
32,Minnesota,Hennepin,2005-09-30T00:00:00Z,,2005-09-29T00:00:00Z,2005-09-29T00:00:00Z,39,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Workplace cafeteria,,,,,,,>1 commodity
33,Oregon,Lane,2005-10-02T00:00:00Z,2005-10-03T00:00:00Z,2005-10-02T00:00:00Z,2005-10-02T00:00:00Z,13,0,0,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
34,Oregon,,2005-07-24T00:00:00Z,2005-07-27T00:00:00Z,2005-07-25T00:00:00Z,2005-07-27T00:00:00Z,22,0,0,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,0,.,.,.,.,.,Camp,,,,,,,>1 commodity
41,North Carolina,Scotland,2005-02-20T00:00:00Z,,2005-02-18T00:00:00Z,2005-02-18T00:00:00Z,8,0,0,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
46,Florida,Sarasota,2005-03-01T00:00:00Z,2005-07-10T00:00:00Z,,,592,,,Cyclospora,,,,,,cayetanensis,,,,,,,,,,,,1,.,.,.,.,.,Other,Restaurant (unknown type),,,,,,Leafy
47,North Carolina,Gaston,2005-09-09T00:00:00Z,2005-09-15T00:00:00Z,2005-09-09T00:00:00Z,2005-09-09T00:00:00Z,83,2,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Poultry
48,North Carolina,Wake,2005-09-05T00:00:00Z,2005-09-06T00:00:00Z,2005-09-04T00:00:00Z,2005-09-04T00:00:00Z,17,0,0,Salmonella,,,,,,enterica,,,,,,Javiana,,,,,,1,.,.,.,.,.,"Fair, festival, other mobile services",,,,,,,Pork
52,Illinois,Cook,2005-10-17T00:00:00Z,2005-10-17T00:00:00Z,2005-10-17T00:00:00Z,2005-10-17T00:00:00Z,25,0,0,Mycotoxins,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,School,,,,,,,Fruits-Nuts
53,North Carolina,Buncombe,2005-09-26T00:00:00Z,2005-09-27T00:00:00Z,2005-09-26T00:00:00Z,2005-09-26T00:00:00Z,15,0,0,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,1,.,.,.,.,.,Other,,,,,,,Vine
54,North Carolina,,2005-10-08T00:00:00Z,,2005-10-07T00:00:00Z,2005-10-08T00:00:00Z,14,1,0,Salmonella,,,,,,enterica,,,,,,Newport,,,,,,1,.,.,.,.,.,Other,,,,,,,>1 commodity
57,New York,Nassau,2005-08-21T00:00:00Z,2005-08-22T00:00:00Z,2005-08-21T00:00:00Z,2005-08-21T00:00:00Z,16,0,0,Bacillus,,,,,,cereus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Grains-Beans
58,Colorado,,2005-07-21T00:00:00Z,2005-08-26T00:00:00Z,,,24,7,1,Salmonella,,,,,,enterica,,,,,,Newport,,,,,,1,.,.,.,.,.,Unknown,,,,,,,>1 commodity
64,Oregon,,2005-10-08T00:00:00Z,2005-10-27T00:00:00Z,2005-10-02T00:00:00Z,2005-10-22T00:00:00Z,64,1,0,Escherichia,,,,,,"coli, Shiga toxin-producing",,,,,,O157:H7,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
65,Florida,Escambia,2005-09-04T00:00:00Z,2005-09-05T00:00:00Z,2005-09-03T00:00:00Z,2005-09-03T00:00:00Z,7,,,Salmonella,,,,,,other,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
66,Connecticut,Litchfield,2005-10-09T00:00:00Z,2005-10-11T00:00:00Z,2005-10-08T00:00:00Z,2005-10-08T00:00:00Z,25,1,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Private home,Wedding reception,,,,,,>1 commodity
67,Connecticut,,2005-09-13T00:00:00Z,2005-09-25T00:00:00Z,,,6,1,0,Salmonella,,,,,,enterica,,,,,,Typhimurium,,,,,,1,.,.,.,.,.,Private home,,,,,,,Unknown
68,Pennsylvania,York,2005-01-30T00:00:00Z,,2005-01-29T00:00:00Z,2005-01-29T00:00:00Z,150,3,0,Calicivirus,,,,,,norovirus,,,,,,GI / Norwalk cluster,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
70,Pennsylvania,Venango,2005-09-16T00:00:00Z,2005-09-16T00:00:00Z,2005-09-15T00:00:00Z,2005-09-15T00:00:00Z,9,0,0,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,"Workplace, not cafeteria",Restaurant (unknown type),Private home,,,,,Beef
71,Republic of Palau,,2005-09-21T00:00:00Z,2005-09-22T00:00:00Z,2005-09-21T00:00:00Z,2005-09-21T00:00:00Z,6,0,0,Bacillus,,,,,,cereus,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
72,Wisconsin,Racine,2005-09-02T00:00:00Z,2005-09-03T00:00:00Z,2005-09-02T00:00:00Z,2005-09-02T00:00:00Z,6,2,0,Salmonella,,,,,,enterica,,,,,,Montevideo,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
73,California,San Francisco,2005-08-20T00:00:00Z,2005-08-27T00:00:00Z,2005-08-20T00:00:00Z,2005-08-20T00:00:00Z,14,0,0,Vibrio,,,,,,parahaemolyticus,,,,,,,,,,,,0,.,.,.,.,.,Picnic,,,,,,,Mollusk
76,Wisconsin,,2005-10-05T00:00:00Z,2005-10-09T00:00:00Z,2005-10-04T00:00:00Z,2005-10-04T00:00:00Z,13,2,0,Campylobacter,,,,,,jejuni,,,,,,,,,,,,1,.,.,.,.,.,Religious location (church/temple),,,,,,,Poultry
77,Wisconsin,Menominee,2005-07-31T00:00:00Z,2005-08-03T00:00:00Z,2005-07-29T00:00:00Z,,25,2,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Picnic,,,,,,,Pork
78,Hawaii,Honolulu,2005-09-03T00:00:00Z,2005-09-03T00:00:00Z,2005-09-02T00:00:00Z,2005-09-02T00:00:00Z,7,2,0,Salmonella,,,,,,enterica,,,,,,Weltevreden,,,,,,1,.,.,.,.,.,Private home,,,,,,,Crustacean
79,North Carolina,Onslow,2005-09-27T00:00:00Z,,,,10,,,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,1,.,.,.,.,.,School,,,,,,,Unknown
80,Florida,Pasco,2005-10-09T00:00:00Z,,2005-10-08T00:00:00Z,,16,,,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,0,.,.,.,.,.,Private home,,,,,,,>1 commodity
82,Michigan,Oakland,2005-08-01T00:00:00Z,,,,30,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Unknown
87,Michigan,Wayne,2005-08-24T00:00:00Z,,2005-08-24T00:00:00Z,2005-08-24T00:00:00Z,21,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Banquet Facility (on-site),,,,,,,Unknown
89,Illinois,Madison,2005-10-30T00:00:00Z,2005-10-31T00:00:00Z,2005-10-29T00:00:00Z,2005-10-30T00:00:00Z,45,1,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Wedding reception,,,,,,,>1 commodity
91,California,Orange,2005-07-25T00:00:00Z,,2005-07-24T00:00:00Z,2005-07-24T00:00:00Z,6,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Unknown
92,Missouri,Franklin,1999-07-27T00:00:00Z,1999-08-07T00:00:00Z,1999-07-24T00:00:00Z,1999-07-26T00:00:00Z,62,1,0,Cyclospora,,,,,,cayetanensis,,,,,,,,,,,,1,.,.,.,.,.,Private home,,,,,,,Leafy
93,West Virginia,Monongalia,1999-07-04T00:00:00Z,,,,126,11,,Staphylococcus,Calicivirus,,,,,aureus,norovirus,,,,,,,,,,,0,0,.,.,.,.,Camp,,,,,,,Unknown
94,West Virginia,Cabell,1999-09-30T00:00:00Z,,1999-09-27T00:00:00Z,1999-10-03T00:00:00Z,12,5,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Beef
95,West Virginia,Nicholas,1999-10-22T00:00:00Z,,1999-10-21T00:00:00Z,1999-10-21T00:00:00Z,16,2,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Other,Private home,,,,,,Leafy
96,Wisconsin,Milwaukee,1999-10-04T00:00:00Z,,1999-10-03T00:00:00Z,1999-10-03T00:00:00Z,14,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Private home,,,,,,,Poultry
97,Wisconsin,La Crosse,1999-03-10T00:00:00Z,,1999-03-10T00:00:00Z,1999-03-10T00:00:00Z,10,,,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,Hospital,,,,,,,>1 commodity
99,Wisconsin,Milwaukee,1999-10-07T00:00:00Z,,,,82,,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,School,,,,,,,Unknown
100,Wisconsin,Kenosha,1999-11-24T00:00:00Z,,1999-11-23T00:00:00Z,,33,0,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
104,Washington,,1999-06-02T00:00:00Z,,,,11,4,0,Salmonella,,,,,,enterica,,,,,,Javiana,,,,,,1,.,.,.,.,.,Private home,"Workplace, not cafeteria",,,,,,Fruits-Nuts
106,Washington,King,1999-12-22T00:00:00Z,,1999-12-22T00:00:00Z,1999-12-22T00:00:00Z,6,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),Private home,,,,,,>1 commodity
107,Washington,King,1999-12-14T00:00:00Z,,1999-12-14T00:00:00Z,1999-12-14T00:00:00Z,6,0,0,Bacillus,,,,,,cereus,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Finfish
108,Washington,King,1999-12-10T00:00:00Z,,1999-12-10T00:00:00Z,1999-12-10T00:00:00Z,30,0,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,"Workplace, not cafeteria",,,,,,,>1 commodity
109,Washington,Thurston,1999-12-05T00:00:00Z,,1999-12-05T00:00:00Z,1999-12-05T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
110,Washington,Jefferson,1999-12-05T00:00:00Z,,1999-12-04T00:00:00Z,1999-12-04T00:00:00Z,62,2,0,Calicivirus,,,,,,norovirus,,,,,,"Genogroup II (GII) , non typeable by GII probes",,,,,,1,.,.,.,.,.,Other,,,,,,,>1 commodity
111,Washington,Pierce,1999-12-05T00:00:00Z,,1999-12-04T00:00:00Z,1999-12-04T00:00:00Z,34,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Camp,,,,,,,Poultry
112,Washington,King,1999-12-03T00:00:00Z,,1999-12-02T00:00:00Z,1999-12-04T00:00:00Z,13,,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
114,Washington,King,1999-11-29T00:00:00Z,,,,17,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
117,Washington,King,1999-11-18T00:00:00Z,,1999-11-18T00:00:00Z,,8,,,Other chemical,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Finfish
121,Washington,King,1999-11-07T00:00:00Z,,1999-11-07T00:00:00Z,1999-11-07T00:00:00Z,6,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
122,Washington,Benton,1999-11-02T00:00:00Z,,1999-11-01T00:00:00Z,1999-11-02T00:00:00Z,6,0,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
129,Washington,King,1999-10-01T00:00:00Z,,1999-09-01T00:00:00Z,1999-10-15T00:00:00Z,35,,,Hepatitis,,,,,,A,,,,,,,,,,,,1,.,.,.,.,.,,,,,,,,>1 commodity
131,Washington,Kittitas,1999-09-27T00:00:00Z,,1999-09-27T00:00:00Z,1999-09-28T00:00:00Z,115,,,Calicivirus,,,,,,norovirus,,,,,,"Genogroup I (GI), non typeable by GI probes",,,,,,1,.,.,.,.,.,Other,,,,,,,>1 commodity
140,Washington,King,1999-09-02T00:00:00Z,,1999-09-02T00:00:00Z,1999-09-02T00:00:00Z,10,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Private home,,,,,,,>1 commodity
142,Washington,King,1999-08-29T00:00:00Z,,1999-08-29T00:00:00Z,,30,,,Clostridium,,,,,,perfringens,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
143,Washington,King,1999-08-29T00:00:00Z,,1999-08-29T00:00:00Z,,11,,,Clostridium,,,,,,perfringens,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
153,Washington,King,1999-07-16T00:00:00Z,,,,41,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,>1 commodity
157,Washington,Snohomish,1999-06-20T00:00:00Z,,,,17,0,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Poultry
158,Washington,Spokane,1999-06-11T00:00:00Z,,1999-06-11T00:00:00Z,,16,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Poultry
166,Washington,Spokane,1999-04-30T00:00:00Z,,,,25,,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Nursing home,,,,,,,Unknown
167,Washington,Stevens,1999-04-29T00:00:00Z,,1999-04-26T00:00:00Z,1999-04-30T00:00:00Z,50,,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Leafy
168,Washington,Kittitas,1999-04-10T00:00:00Z,,,,30,,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Private home,,,,,,,Unknown
