"EFORSCDCID","FoodCategoryName","ContaminatedIngredient"
3,"taco dip",
4,"sandwich, deli",
7,"gravy, sausage",
13,"ground beef","Ground Beef"
14,"alfalfa sprouts","Sprouts"
15,"iceberg lettuce, unspecified","Leafy (eg. lettuce)"
17,"roma tomato","Vine-stalk  eg. tomato"
18,"roma tomato","Vine-stalk  eg. tomato"
19,"eggs, unspecified",
19,"onion, unspecified",
19,"taco, beef",
20,"ground beef, unspecified",
32,"salad bar",
32,"sandwich, unspecified",
33,"guacamole",
34,"caesar salad",
46,"basil, unspecified","Spices"
47,"chicken, grilled",
48,"pork, BBQ",
52,"pineapple, unspecified",
53,"squash, unspecified",
54,"cake, cream cheese",
54,"cheese bread",
57,"rice and peas","Rice"
58,"cantaloupe",
58,"ground beef, unspecified",
64,"other food *****",
66,"deli tray",
70,"beef, unspecified",
71,"fried rice, unspecified",
72,"gravy, sausage",
73,"Oysters","Shellfish"
76,"liver, chicken",
77,"pork, roasted",
78,"shrimp, raw",
80,"sandwich, cuban",
89,"chicken, other",
89,"green salad",
92,"basil, unspecified","Spices"
93,"multiple foods",
94,"chile relleno, unspecified",
95,"lettuce-based salads unspecified",
96,"chicken, unspecified",
97,"soup unspecified",
100,"eggs, other",
100,"lasagna, unspecified",
100,"ravioli, unspecified",
104,"mixed fruit",
106,"chicken, unspecified",
106,"mashed potato/gravy",
107,"salmon, unspecified",
108,"sandwich, ham",
110,"celery, unspecified",
110,"peppers, green",
110,"water",
111,"turkey, unspecified",
117,"tuna, unspecified",
122,"sandwich, ham",
122,"sandwich, turkey",
129,"sandwich, unspecified",
131,"leaf lettuce, unspecified",
131,"tomato, unspecified",
140,"chicken, unspecified",
140,"potato, mashed",
142,"beans, baked",
153,"sandwich, other vegetable",
157,"chicken, unspecified",
158,"turkey, unspecified",
167,"cabbage, unspecified",
171,"salad, unspecified",
173,"chicken, fried",
173,"potato, mashed",
176,"pizza, unspecified",
178,"ethnic style, unspecified",
186,"ethnic style, unspecified",
189,"unspecified fruit",
191,"salmon, unspecified",
191,"sauces, unspecified",
195,"ground beef, hamburger",
197,"ham, unspecified",
198,"beef, stew",
199,"croissants",
199,"ham, unspecified",
201,"chicken, other",
202,"french toast, unspecified",
