"EFORSCDCID","OtherStates"
13,"California"
13,"Florida"
13,"Illinois"
13,"Indiana"
13,"Iowa"
13,"Massachusetts"
13,"Michigan"
13,"Missouri"
13,"Nebraska"
13,"New York"
13,"Ohio"
14,"Oregon"
14,"Washington"
15,"Arkansas"
15,"Connecticut"
15,"Georgia"
15,"Massachusetts"
15,"Michigan"
15,"Mississippi"
15,"New Hampshire"
15,"New Jersey"
15,"New York"
15,"North Carolina"
15,"Ohio"
15,"Oklahoma"
15,"Pennsylvania"
15,"Rhode Island"
15,"South Carolina"
15,"Tennessee"
15,"Vermont"
15,"Virginia"
17,"Connecticut"
17,"Delaware"
17,"Georgia"
17,"Iowa"
17,"Kansas"
17,"Maryland"
17,"Massachusetts"
17,"Missouri"
17,"New Hampshire"
17,"New Jersey"
17,"New York"
17,"Ohio"
17,"Pennsylvania"
17,"Virginia"
17,"West Virginia"
17,"Wisconsin"
18,"Maryland"
18,"Michigan"
18,"Missouri"
18,"New Hampshire"
18,"North Carolina"
18,"Ohio"
18,"Pennsylvania"
18,"Virginia"
18,"West Virginia"
19,"New Jersey"
19,"New York"
19,"Pennsylvania"
20,"Colorado"
20,"Kansas"
20,"Kentucky"
20,"Maryland"
20,"Minnesota"
20,"New Jersey"
20,"New Mexico"
20,"New York"
20,"Pennsylvania"
20,"Tennessee"
20,"Virginia"
20,"Wisconsin"
20,"Wyoming"
20,"Washington DC"
22,"Alabama"
22,"California"
22,"Colorado"
22,"Connecticut"
22,"Georgia"
22,"Indiana"
22,"Massachusetts"
22,"Missouri"
22,"New Hampshire"
22,"New Jersey"
22,"New York"
22,"Oregon"
22,"Pennsylvania"
22,"Rhode Island"
22,"Wisconsin"
659,"Connecticut"
659,"New Hampshire"
659,"New York"
660,"Arizona"
660,"Colorado"
660,"Massachusetts"
661,"California"
661,"Colorado"
661,"Texas"
662,"Connecticut"
662,"Maryland"
662,"New York"
663,"Arizona"
663,"California"
663,"Nevada"
664,"Massachusetts"
664,"Minnesota"
664,"New Hampshire"
665,"Arizona"
665,"Michigan"
665,"Oregon"
666,"Connecticut"
666,"Massachusetts"
667,"Arizona"
667,"California"
668,"Illinois"
668,"Indiana"
668,"Iowa"
668,"Kansas"
668,"Michigan"
668,"Missouri"
668,"New York"
668,"Ohio"
668,"Pennsylvania"
668,"West Virginia"
668,"Wisconsin"
669,"Connecticut"
669,"Maine"
669,"Massachusetts"
671,"Connecticut"
671,"New York"
671,"Ohio"
672,"Alabama"
672,"Arizona"
672,"California"
672,"Georgia"
672,"Illinois"
672,"Kansas"
672,"Tennessee"
2259,"Florida"
2259,"Kentucky"
2259,"Nevada"
2260,"Massachusetts"
2260,"Minnesota"
2260,"Wisconsin"
2261,"North Carolina"
2261,"Tennessee"
2261,"Virginia"
2262,"Arizona"
2262,"California"
2263,"New Hampshire"
2263,"Vermont"
2264,"Connecticut"
2264,"Georgia"
2264,"New York"
2265,"Connecticut"
2265,"Rhode Island"
2266,"California"
2266,"Colorado"
2266,"New Mexico"
2267,"Arizona"
2267,"California"
2267,"Colorado"
2268,"California"
2268,"Nevada"
2268,"Oregon"
2269,"California"
2269,"Colorado"
2269,"Nevada"
2270,"California"
2270,"Kansas"
2270,"Utah"
2271,"California"
2271,"Oregon"
2271,"Washington"
3570,"Connecticut"
3570,"New Jersey"
3570,"New York"
3571,"California"
3571,"Florida"
3571,"Massachusetts"
3571,"Minnesota"
3763,"Arizona"
3763,"California"
3763,"Maryland"
7165,"California"
7165,"Nevada"
7165,"Washington"
7166,"Arizona"
7166,"California"
7166,"Colorado"
7167,"Arizona"
7167,"California"
7167,"Colorado"
7168,"Connecticut"
7168,"Massachusetts"
7168,"Rhode Island"
7417,"California"
7417,"Connecticut"
7417,"Massachusetts"
7666,"California"
7666,"Oregon"
7666,"Washington"
7668,"New Jersey"
7668,"New York"
7668,"Pennsylvania"
7820,"Arkansas"
7820,"Connecticut"
7820,"Delaware"
7820,"Georgia"
7820,"Indiana"
7820,"Kentucky"
7820,"Maine"
7820,"Maryland"
7820,"Massachusetts"
7820,"Michigan"
7820,"Minnesota"
7820,"Missouri"
7820,"Nebraska"
7820,"New Hampshire"
7820,"New Jersey"
7820,"New York"
7820,"North Carolina"
7820,"Ohio"
7820,"Pennsylvania"
7820,"Rhode Island"
7820,"Tennessee"
7820,"Vermont"
7820,"Virginia"
7820,"West Virginia"
7826,"Arkansas"
7826,"California"
7826,"Colorado"
7826,"Iowa"
7826,"Michigan"
7826,"Nebraska"
7826,"South Dakota"
7826,"Washington"
7826,"Wyoming"
7831,"Colorado"
7831,"Illinois"
7831,"Wisconsin"
8225,"Michigan"
8225,"New York"
8225,"Pennsylvania"
8476,"California"
8476,"Illinois"
8476,"Massachusetts"
8477,"Oregon"
8477,"Washington"
8478,"Kansas"
8478,"Michigan"
8478,"Minnesota"
8479,"Connecticut"
8479,"Delaware"
8479,"Georgia"
8480,"Connecticut"
8480,"New Hampshire"
8480,"New York"
8481,"Connecticut"
8481,"Maine"
8481,"Massachusetts"
8481,"New Hampshire"
8481,"New Jersey"
8481,"New York"
8481,"Rhode Island"
8481,"Vermont"
8483,"Connecticut"
8483,"Delaware"
8483,"Pennsylvania"
8484,"Oregon"
8484,"Washington"
8490,"Arizona"
8490,"Oregon"
8490,"Washington"
8496,"California"
8496,"Massachusetts"
8496,"New Hampshire"
8496,"New Jersey"
8507,"Idaho"
8507,"Oregon"
8507,"Utah"
8508,"Massachusetts"
8508,"New York"
