"RootID","OtherStates"
6875,"Illinois"
6875,"Minnesota"
6875,"Missouri"
6875,"Wisconsin"
6876,"California"
6876,"Connecticut"
6876,"Maine"
6876,"Michigan"
6876,"Minnesota"
6876,"New Jersey"
6876,"New Mexico"
6876,"New York"
6876,"Texas"
6876,"Wisconsin"
6890,"Connecticut"
6890,"Maryland"
6890,"New York"
6890,"Pennsylvania"
6890,"Vermont"
6890,"Virginia"
6921,"Arizona"
6921,"California"
6921,"Colorado"
6921,"Connecticut"
6921,"Delaware"
6921,"Georgia"
6921,"Illinois"
6921,"Iowa"
6921,"Kentucky"
6921,"Maine"
6921,"Maryland"
6921,"Massachusetts"
6921,"Minnesota"
6921,"Missouri"
6921,"Montana"
6921,"Nevada"
6921,"New Hampshire"
6921,"New Jersey"
6921,"New York"
6921,"North Carolina"
6921,"Ohio"
6921,"Oklahoma"
6921,"Oregon"
6921,"Pennsylvania"
6921,"South Carolina"
6921,"Texas"
6921,"Utah"
6921,"Virginia"
6921,"Washington"
6921,"Wisconsin"
7075,"Arizona"
7075,"California"
7075,"Florida"
7075,"Illinois"
7075,"Iowa"
7075,"Kansas"
7075,"Kentucky"
7075,"Maryland"
7075,"Michigan"
7075,"Minnesota"
7075,"Nebraska"
7075,"New Mexico"
7075,"New York"
7075,"North Carolina"
7075,"Ohio"
7075,"Pennsylvania"
7075,"South Dakota"
7075,"Tennessee"
7075,"Utah"
7075,"Virginia"
7075,"West Virginia"
7078,"Arkansas"
7078,"California"
7078,"Colorado"
7078,"Illinois"
7078,"Maine"
7078,"Massachusetts"
7078,"Minnesota"
7078,"Missouri"
7078,"New Hampshire"
7078,"New Jersey"
7078,"New Mexico"
7078,"New York"
7078,"Oregon"
7078,"Pennsylvania"
7078,"Tennessee"
7078,"Texas"
7078,"Virginia"
7078,"Wisconsin"
7085,"Colorado"
7085,"New York"
7085,"North Carolina"
7085,"Utah"
7085,"Wisconsin"
7088,"California"
7088,"Colorado"
7088,"Maine"
7088,"Maryland"
7088,"Massachusetts"
7088,"New Hampshire"
7088,"New York"
7088,"Pennsylvania"
7088,"Virginia"
7106,"Alabama"
7106,"Alaska"
7106,"Arizona"
7106,"California"
7106,"Colorado"
7106,"Connecticut"
7106,"Delaware"
7106,"Florida"
7106,"Georgia"
7106,"Idaho"
7106,"Illinois"
7106,"Indiana"
7106,"Iowa"
7106,"Kansas"
7106,"Louisiana"
7106,"Maine"
7106,"Maryland"
7106,"Massachusetts"
7106,"Michigan"
7106,"Minnesota"
7106,"Mississippi"
7106,"Missouri"
7106,"Nebraska"
7106,"New Hampshire"
7106,"New Jersey"
7106,"New Mexico"
7106,"New York"
7106,"North Carolina"
7106,"North Dakota"
7106,"Ohio"
7106,"Oklahoma"
7106,"Oregon"
7106,"Pennsylvania"
7106,"Rhode Island"
7106,"South Carolina"
7106,"South Dakota"
7106,"Tennessee"
7106,"Texas"
7106,"Utah"
7106,"Virginia"
7106,"Washington"
7106,"West Virginia"
7106,"Wisconsin"
7106,"Wyoming"
7106,"Washington DC"
7112,"Arizona"
7112,"California"
7112,"Colorado"
7112,"Minnesota"
7113,"California"
7113,"Connecticut"
7113,"Georgia"
7113,"Iowa"
7113,"Kansas"
7113,"Kentucky"
7113,"Louisiana"
7113,"Maine"
7113,"Missouri"
7113,"Oklahoma"
7113,"South Dakota"
7113,"Texas"
7113,"Virginia"
7119,"Arizona"
7119,"California"
7119,"Colorado"
7119,"Idaho"
7119,"Illinois"
7119,"Iowa"
7119,"Michigan"
7119,"Nebraska"
7119,"Nevada"
7119,"New Mexico"
7119,"South Dakota"
7119,"Tennessee"
7119,"Texas"
7119,"Utah"
7119,"Wyoming"
7610,"Alabama"
7610,"Arkansas"
7610,"California"
7610,"Colorado"
7610,"Connecticut"
7610,"Florida"
7610,"Idaho"
7610,"Illinois"
7610,"Kansas"
7610,"Kentucky"
7610,"Maine"
7610,"Maryland"
7610,"Michigan"
7610,"Missouri"
7610,"Montana"
7610,"New Mexico"
7610,"New York"
7610,"Ohio"
7610,"Oklahoma"
7610,"Oregon"
7610,"Pennsylvania"
7610,"Tennessee"
7610,"Utah"
7610,"Vermont"
7610,"Virginia"
7610,"Washington"
7610,"Wyoming"
7678,"California"
7678,"Colorado"
7678,"Florida"
7678,"Indiana"
7678,"Iowa"
7678,"Kansas"
7678,"Minnesota"
7678,"Missouri"
7678,"Nevada"
7678,"Ohio"
7678,"Oklahoma"
7678,"South Dakota"
7678,"Tennessee"
7678,"Utah"
7678,"Washington"
8115,"Delaware"
8115,"New Jersey"
8115,"New York"
10356,"Alaska"
10356,"Arizona"
10356,"California"
10356,"Idaho"
10356,"North Carolina"
10356,"Oregon"
10356,"Texas"
10356,"Utah"
10356,"Washington"
10356,"West Virginia"
